Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,Numerical Rating,Discipline
"Politicka Ekonomie: teorie, modelovani, aplikace",VysokÂ· a_x0001_kola ekonomickÂ· v Praze,1402,B,0032-3233,,http://www.vse.cz/polek/,3,
Politics and Society,Sage Publications,1599,B,0032-3292,1552-7514,http://pas.sagepub.com/,3,
"Politics, Philosophy & Economics",Sage Publications,1499,B,1470-594X,1741-3060,,3,
Population,Institut national d'Etudes demographiques,1503,B,1634-2941,,,3,Education
Post-Communist Economies,Taylor & Francis Online,1402,B,1463-1377,1465-3958,,3,
Post-Soviet Affairs,Taylor & Francis Online,1599,B,1060-586X,1938-2855,http://www.tandfonline.com/toc/rpsa20/current,3,
PRism,Center for Culture-Centered Approach to Research and Evaluation,1505,B,1448-4404,,,3,
Problems of Economic Transition,Taylor & Francis Online,1402,B,1061-1991,1557-931X,,3,
Production and Inventory Management Journal,"American Production & Inventory Control Society, Inc.",1503,B,0897-8336,0897-8336,,3,Education
Project Management Journal,Wiley-Blackwell Publishing,1503,B,8756-9728,1938-9507,,3,Education
Prometheus: Critical Studies in Innovation,Taylor & Francis Online,1503,B,0810-9028,1470-1030,,3,Education
Property Management,Emerald Group Publishing,1504,B,0263-7472,1758-731X,http://www.emeraldinsight.com/loi/pm,3,
Public Finance Analysis / FinanzArchiv,Mohr Siebeck Verlag,1502,B,0015-2218,1614-0974,,3,
Public Finance and Management,Southern Public Administration Education Foundation Inc.,1502,B,1523-9721,,,3,
Public Finance Review,Sage Publications,1402,B,1091-1421,1552-7530,http://pfr.sagepub.com/,3,
Public Money & Management,Taylor & Francis Online,1503,B,0954-0962,1467-9302,,3,Education
Public Performance & Management Review,Taylor & Francis Online,1503,B,1530-9576,1557-9271,,3,Education
Public Personnel Management,Sage Publications,1503,B,0091-0260,1945-7421,,3,Education
Public Policy and Administration,Sage Publications,1599,B,0952-0767,1749-4192,,3,
Public Relations Inquiry,Sage Publications,1505,B,2046-147X,2046-1488,,3,
Qualitative Market Research: An international journal,Emerald Group Publishing,1505,B,1352-2752,1758-7646,,3,
Qualitative Research in Financial Markets,Emerald Group Publishing Limited,1502,B,1755-4179,1755-4187,,3,
Qualitative Research in Organizations and Management,Emerald Group Publishing,1503,B,1746-5648,1746-5656,,3,Education
Quality & Quantity,Springer International Publishing,1503,B,0033-5177,1573-7845,,3,Education
Quality Management Journal,Taylor & Francis Online,1503,B,1068-6967,2575-6222,,3,Education
Quarterly Journal of Finance and Accounting,Creighton University,1501,B,0747-5535,,,3,
Quarterly Journal of Political Science,Now Publishers,1599,B,1554-0626,1554-0634,http://www.qjps.com/,3,
Quarterly Review of Economics and Finance,Elsevier,1402,B,1062-9769,1878-4259,,3,
Rationality and Society,Sage Publications,1599,B,1043-4631,1461-7358,,3,
Recherches Economiques de Louvain,De Boeck Superior,1402,B,0770-4518,1782-1495,,3,
Relations Industrielles/Industrial Relations,Department of Industrial Relations at Laval University,1503,B,0034-379X,1703-8138,,3,Education
Research in Accounting Regulation,Elsevier,1501,B,1052-0457,,http://www.journals.elsevier.com/research-in-accounting-regulation,3,
Research in Economics,Elsevier,1402,B,1090-9443,1090-9451,http://www.journals.elsevier.com/research-in-economics,3,
Research in Experimental Economics,Emerald Group Publishing,1402,B,0193-2306,1875-7537,,3,
Research in Governmental and Non-Profit Accounting,Elsevier,1501,B,0884-0741,,http://www.emeraldgrouppublishing.com/products/books/recommend.htm?id=0884-0741&PHPSESSID=383gh9119558a8sc2dnhp1he25,3,
Research in International Business and Finance,Elsevier,1502,B,0275-5319,1878-3384,,3,
Research in Transportation Economics,Elsevier,1507,B,0739-8859,1875-7979,,3,
Research on Professional Responsibility and Ethics in Accounting,Emerald Group Publishing,1501,B,1574-0765,,,3,
Resources Policy,Elsevier,1402,B,0301-4207,1873-7641,,3,
Revenue Law Journal,Bond Faculty of Law Review Editorial Committee,180125,B,1034-7747,2202-4859,http://epublications.bond.edu.au/rlj/,3,
Review of Accounting and Finance,Emerald Group Publishing,1501,B,1475-7702,1758-7700,,3,
Review of Behavioral Economics,Now Publishers,1402,B,2326-6198,2326-6201,,3,
Review of Behavioral Finance,Emerald Group Publishing Limited,1502,B,1940-5979,1940-5987,,3,
Review of Derivatives Research,Springer International Publishing,1502,B,1380-6645,1573-7144,http://springerlink.metapress.com/,3,
Review of Development Economics,Wiley-Blackwell Publishing,1402,B,1363-6669,1467-9361,,3,
Review of Economic Analysis,Digital Initiatives at the University of Waterloo Library,1402,B,1973-3909,,http://www.rofea.org/index.php,3,
Review of Economic Design,Springer International Publishing,1402,B,1434-4742,1434-4750,http://www.springerlink.com/content/101179/,3,
Review of Financial Economics,Wiley-Blackwell Publishing,1502,B,1058-3300,1873-5924,,3,
Review of Futures Markets,"Kent State University, Ohio",1502,B,1933-7116,,,3,
Review of International Studies,Cambridge University Press,1599,B,0260-2105,1469-9044,http://journals.cambridge.org/,3,
Review of Law & Economics,De Gruyter,1402,B,2194-6000,1555-5879,,3,
Review of Pacific Basin Financial Markets and Policies,World Scientific Publishing,1502,B,0219-0915,1793-6705,http://www.worldscinet.com/rpbfmp/,3,
Review of Political Economy,Taylor & Francis Online,1402,B,0953-8259,1465-3982,http://www.tandfonline.com/loi/crpe20#.V33r9aKMz3U,3,
Review of Public Personnel Administration,Sage Publications,1503,B,0734-371X,1552-759X,,3,Education
Review of Quantitative Finance and Accounting,Springer International Publishing,1502,B,0924-865X,1573-7179,http://www.springer.com/,3,
Review of Radical Political Economics,Sage Publications,1402,B,0486-6134,1552-8502,http://rrp.sagepub.com/,3,
Review of Social Economy,Taylor & Francis Online,1402,B,0034-6764,1470-1162,,3,
Review of the Economic Research on Copyright Issues,Society for Economic Research on Copyright Issues,180105,B,1698-1359,1698-1367,,3,
Review of Urban & Regional Development Studies,Wiley-Blackwell Publishing,1402,B,0917-0553,1467-940X,,3,
Review of World Economics,Springer International Publishing,1402,B,1610-2878,1610-2886,,3,
Revue d'Etudes Comparatives Est-Ouest: economies et techniques de planification - droit et sciences sociales,Centre national de la recherche scientifique,1402,B,0338-0599,2259-6100,http://www.necplus.eu/action/displayJournal?jid=REC,3,
"Risk, Decision and Policy",Taylor & Francis Online,1599,B,1357-5309,,http://www.tandfonline.com/brdp,3,
Risks,MDPI ,1502,B,2227-9091,,,3,
Rutgers Business Review,Rutgers Business School,1503,B,2474-2376,2474-6509,,3,Education
Rutgers Computer and Technology Law Journal,Rutgers Law School,180105,B,0735-8938,,http://www.heinonline.org/,3,
Scandinavian Journal of Management,Elsevier,1503,B,0956-5221,1873-3387,http://www.journals.elsevier.com/scandinavian-journal-of-management,3,Education
Science & Society,"S&S Quarterly, Inc.",1402,B,0036-8237,,,3,
"Science, Technology and Society",Sage Publications,806,B,0971-7218,0973-0796,,3,Information Systems
Security Studies,Taylor & Francis Online,1503,B,0963-6412,1556-1852,http://www.tandfonline.com/fsst,3,Education
SERIEs: Journal of the Spanish Economic Association,Springer International Publishing,1402,B,1869-4187,1869-4195,,3,
Service Business,Springer International Publishing,1505,B,1862-8516,1862-8508,,3,
Service Industries Journal,Taylor & Francis Online,1505,B,0264-2069,1743-9507,,3,
Service Science,INFORMS,1503,B,2164-3970,,,3,Education
Services Marketing Quarterly,Taylor & Francis Online,1505,B,1533-2969,1533-2977,,3,
SIAM Journal on Financial Mathematics,Society for Industrial and Applied Mathematics,1502,B,,1945-497X,http://www.siam.org/,3,
Singapore Economic Review,World Scientific Publishing,1402,B,0217-5908,1793-6837,http://www.worldscinet.com/ser/,3,
Social and Environmental Accountability Journal,Taylor & Francis Online,1501,B,0969-160X,2156-2245,,3,
Social Business: An Interdisiplinary Journal,Westburn Publishers Ltd,1599,B,2044-4087,2044-9860,www.socialbusinessperiodical.com,3,
Social Justice Research,Springer International Publishing,1503,B,0885-7466,1573-6725,,3,Education
Social Marketing Quarterly,Sage Publications,1505,B,1524-5004,1539-4093,,3,
Social Psychological and Personality Science,Sage Publications,1503,B,1948-5506,1948-5514,http://spp.sagepub.com/,3,Education
Social Responsibility Journal,Emerald Group Publishing,1503,B,1747-1117,1758-857X,,3,Education
Social Science Quarterly,Wiley-Blackwell Publishing,1503,B,0038-4941,1540-6237,,3,Education
Social Service Review,The University of Chicago Press,1503,B,0037-7961,1537-5404,http://www.journals.uchicago.edu/toc/ssr/current,3,Education
Society and Business Review,Emerald Group Publishing,1503,B,1746-5680,1746-5699,http://www.emeraldinsight.com/loi/sbr,3,Education
Sociologie du Travail,Elsevier,1503,B,0038-0296,1777-5701,http://www.journals.elsevier.com/sociologie-du-travail/,3,Education
South African Journal of Economics,Wiley-Blackwell Publishing,1402,B,0038-2280,1813-6982,,3,
South African Statistical Journal,South African Statiscal Association,1502,B,0038-271X,,,3,
Spanish Accounting Review / Revista de Contabilidad,Elsevier,1501,B,1138-4891,1988-4672,,3,
Spanish Economic Review,Springer International Publishing,1402,B,1435-5469,1435-5477,http://www.springerlink.com/,3,
Spanish Journal of Finance and Accounting,Taylor & Francis Online,1501,B,0210-2412,2332-0753,,3,
Spatial Economic Analysis,Taylor & Francis Online,1402,B,1742-1772,1742-1780,http://www.tandfonline.com/toc/rsea20/,3,
Sport in Society,Taylor & Francis Online,1504,B,1743-0437,1743-0445,http://www.tandfonline.com/fcss,3,
Sport Marketing Quarterly,"Fitness Information Technology, Inc.",1505,B,1061-6934,1557-2528,http://www.ebscohost.com/,3,
Sport Psychologist,"Human Kinetics Publishers, Inc.",1504,B,0888-4781,1543-2793,http://hk.humankinetics.com/,3,
"Sport, Education and Society",Taylor & Francis Online,1504,B,1357-3322,1470-1243,,3,
Stanford Social Innovation Review,"Center for Social Innovation, Stanford Graduate School of Business",1503,B,1542-7009,,,3,Education
Statistical Methods In Medical Research,Sage Publications,104,B,0962-2802,1477-0334,http://smm.sagepub.com/,3,
Statistical Modelling,Sage Publications,104,B,1471-082X,1477-0342,,3,
Statistical Papers,Springer International Publishing,104,B,0932-5026,1613-9798,http://www.springerlink.com/,3,
Statistics,Taylor & Francis Online,104,B,0233-1888,1029-4910,,3,
Statistics & Probability Letters,Elsevier,104,B,0167-7152,1879-2103,,3,
Statistics Education Research Journal,International Association for Statistical Education,104,B,1570-1824,,http://www.stat.auckland.ac.nz/,3,
Stochastic Analysis and Applications,Taylor & Francis Online,104,B,0736-2994,1532-9356,http://www.tandfonline.com/lsaa,3,
Stochastic Environmental Research and Risk Assessment,Springer International Publishing,104,B,1436-3240,1436-3259,http://www.springerlink.com/,3,
Stochastic Models,Taylor & Francis Online,104,B,1532-6349,1532-4214,http://www.tandfonline.com/lstm,3,
Stochastics: An international journal of probability and stochastic processes,Taylor & Francis Online,104,B,1744-2508,1744-2516,,3,
Structural Change and Economic Dynamics,Elsevier,1402,B,0954-349X,1873-6017,,3,
Studies in Economics and Finance,Emerald Group Publishing,1402,B,1086-7376,1755-6791,http://www.emeraldinsight.com/loi/sef,3,
Suffolk University Law Review,Suffolk University Law School,180105,B,0039-4696,,http://www.heinonline.org/,3,
Supply Chain Management Review,Peerless Media,1507,B,1521-9747,,,3,
Survival,Taylor & Francis Online,1503,B,0039-6338,1468-2699,http://www.tandfonline.com/tsur,3,Education
"Sustainability Accounting, Management and Policy Journal",,1501,B,2040-8021,,http://www.emeraldinsight.com/sampj,3,
Systemic Practice and Action Research,Springer International Publishing,1503,B,1094-429X,1573-9295,http://springerlink.metapress.com/,3,Education
Tax Specialist,Tax Institute,180125,B,1329-1203,,http://www.taxinstitute.com.au/,3,
Technology Analysis and Strategic Management,Taylor & Francis Online,1503,B,0953-7325,1465-3990,http://www.tandfonline.com/ctas,3,Education
The Adam Smith Review,The International Adam Smith Society,1499,B,1743-5285,,http://www.adamsmithreview.org/,3,
The American Sociologist,Springer International Publishing,1503,B,0003-1232,1936-4784,http://www.springerlink.com/,3,Education
The American Statistician (AMSTAT),Taylor & Francis Online,104,B,0003-1305,1537-2731,http://www.tandfonline.com/mces,3,
"The Annals of Regional Science: international journal of urban, regional and environmental research and policy",Springer International Publishing,1402,B,0570-1864,1432-0592,http://link.springer.com/journal/168,3,
The Australian Economic Review,Wiley-Blackwell Publishing,1402,B,0004-9018,1467-8462,,3,
The Chinese Economy: translation and studies,Taylor & Francis Online,1402,B,1097-1475,1558-0954,http://www.mesharpe.com/,3,
The Economic and Labour Relations Review,Sage Publications,1402,B,1035-3046,,http://elr.sagepub.com/.,3,
The Electronic Library,Emerald Group Publishing Limited,806,B,0264-0473,1768-616X,http://www.emeraldinsight.com/loi/el,3,Information Systems
The Geneva Papers on Risk and Insurance - Issues and Practice,Springer International Publishing,1502,B,1018-5895,1468-0440,http://www.springer.com/business+%26+management/finance/journal/41288/PSE,3,
The Geneva Risk and Insurance Review,Springer International Publishing,1502,B,1554-964X,1554-9658,http://www.springer.com/business+%26+management/finance/journal/10713,3,
The Information Management Journal,Association of Records Managers and Administrators (ARMA) International,806,B,1535-2897,1050-2343,http://trove.nla.gov.au/work/27961543?selectedversion=NBD14505945,3,Information Systems
The International Journal of Comparative Labour Law and Industrial Relations,Kluwer Law International,180105,B,0952-617X,1875-838X,http://www.kluwerlawonline.com/,3,
The International Journal of Digital Accounting Research,Rutgers University,1501,B,1577-8517,,,3,
The Japanese Political Economy,Taylor & Francis Online,1402,B,2329-194X,2329-1958,,3,
The Journal of Alternative Investments,Pageant Media,1502,B,1520-3255,1520-3255,,3,
The Journal of Applied Behavioral Science,Sage Publications,1503,B,0021-8863,1552-6879,http://www.sagepub.com/,3,Education
The Journal of Asset Management,Springer International Publishing,1502,B,1470-8272,1479-179X,http://www.springer.com/business+%26+management/finance/journal/41260,3,
The Journal of Economic Asymmetries,Elsevier,1402,B,1703-4949,,,3,
The Journal of Economic Education,Taylor & Francis Online,1402,B,0022-0485,2152-4068,http://www.tandfonline.com/vece,3,
The Journal of Gambling Business and Economics,University of Buckingham Press,1402,B,1751-7990,1751-8008,http://www.ubplj.org/index.php/jgbe/index,3,
